[start] tuple=6x8 权重内存 512MB | 分钟=600 out=td6_net_latest.bin
[bench] 10 秒实测 1357.4 局/秒（单进程）→ 48866400 局/600分钟
[train] games=1265164 steps=163129958 | 窗口均分 1224 | 平均步 129 | 平均|δ| 42.436 | max|w| 30.0 | 256:9.4% 128:54.4% 64:32.6% 32:3.5% 16:0.1% | 73.0min
[train] games=1279968 steps=165043009 | 窗口均分 1229 | 平均步 129 | 平均|δ| 42.243 | max|w| 30.0 | 512:0.0% 256:9.4% 128:54.6% 64:32.7% 32:3.2% 16:0.1% | 74.0min
[train] games=1295565 steps=167059152 | 窗口均分 1231 | 平均步 129 | 平均|δ| 42.346 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.3% 64:32.5% 32:3.4% 16:0.1% | 75.0min
[train] games=1317277 steps=169864921 | 窗口均分 1229 | 平均步 129 | 平均|δ| 42.486 | max|w| 30.0 | 512:0.0% 256:9.6% 128:53.9% 64:33.2% 32:3.2% 16:0.1% | 76.0min
[train] games=1344958 steps=173450270 | 窗口均分 1234 | 平均步 130 | 平均|δ| 42.530 | max|w| 30.0 | 512:0.0% 256:9.6% 128:54.7% 64:32.4% 32:3.2% 16:0.1% | 77.0min
[train] games=1380346 steps=178021210 | 窗口均分 1228 | 平均步 129 | 平均|δ| 42.724 | max|w| 30.0 | 512:0.0% 256:9.5% 128:54.5% 64:32.6% 32:3.3% 16:0.1% | 78.0min
[train] games=1417733 steps=182852112 | 窗口均分 1229 | 平均步 129 | 平均|δ| 42.920 | max|w| 30.0 | 512:0.0% 256:9.4% 128:54.9% 64:32.5% 32:3.1% 16:0.1% | 79.0min
[train] games=1456277 steps=187839466 | 窗口均分 1232 | 平均步 129 | 平均|δ| 43.047 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.2% 64:32.7% 32:3.2% 16:0.1% | 80.0min
[train] games=1470024 steps=189618096 | 窗口均分 1232 | 平均步 129 | 平均|δ| 43.214 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.0% 64:32.7% 32:3.4% 16:0.0% | 81.0min
[train] games=1480642 steps=190986853 | 窗口均分 1224 | 平均步 129 | 平均|δ| 43.318 | max|w| 30.0 | 512:0.0% 256:9.4% 128:53.9% 64:33.2% 32:3.4% 16:0.0% | 82.0min
[train] games=1491054 steps=192334047 | 窗口均分 1232 | 平均步 129 | 平均|δ| 43.240 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.7% 64:32.4% 32:3.1% 16:0.1% | 83.0min
[train] games=1501523 steps=193691062 | 窗口均分 1236 | 平均步 130 | 平均|δ| 43.311 | max|w| 30.0 | 512:0.1% 256:9.8% 128:54.5% 64:32.4% 32:3.1% 16:0.1% | 84.0min
[train] games=1515102 steps=195441647 | 窗口均分 1225 | 平均步 129 | 平均|δ| 43.434 | max|w| 30.0 | 512:0.0% 256:9.3% 128:54.4% 64:32.9% 32:3.3% 16:0.1% | 85.0min
[train] games=1530498 steps=197431847 | 窗口均分 1230 | 平均步 129 | 平均|δ| 43.423 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.2% 64:32.6% 32:3.4% 16:0.1% | 86.0min
[train] games=1546555 steps=199507993 | 窗口均分 1230 | 平均步 129 | 平均|δ| 43.583 | max|w| 30.0 | 512:0.0% 256:9.7% 128:54.1% 64:32.7% 32:3.4% 16:0.0% | 87.0min
[train] games=1570450 steps=202588709 | 窗口均分 1225 | 平均步 129 | 平均|δ| 43.524 | max|w| 30.0 | 512:0.0% 256:9.5% 128:54.3% 64:32.9% 32:3.2% 16:0.1% | 88.0min
[train] games=1597067 steps=206039192 | 窗口均分 1235 | 平均步 130 | 平均|δ| 43.501 | max|w| 30.0 | 512:0.0% 256:9.5% 128:55.2% 64:32.1% 32:3.1% 16:0.1% | 89.0min
[ckpt] 已写 td6_net_latest.bin @ games=1625093
[train] games=1625094 steps=209664129 | 窗口均分 1232 | 平均步 129 | 平均|δ| 43.666 | max|w| 30.0 | 512:0.0% 256:9.8% 128:54.3% 64:32.5% 32:3.3% 16:0.1% | 90.1min
[train] games=1653001 steps=213258130 | 窗口均分 1222 | 平均步 129 | 平均|δ| 43.921 | max|w| 30.0 | 512:0.0% 256:9.2% 128:54.4% 64:33.3% 32:3.0% 16:0.1% | 91.1min
[train] games=1680396 steps=216785969 | 窗口均分 1223 | 平均步 129 | 平均|δ| 43.903 | max|w| 30.0 | 512:0.0% 256:9.2% 128:54.4% 64:33.2% 32:3.1% 16:0.1% | 92.1min
